x,y,cluster,term,genes
7.1545825,5.8664894,Cluster 0,RHEUMATOID ARTHRITIS DISEASE SPECIFIC SYNOVIAL TISSUE,GALNT18 PCOLCE2 CTSC MMP19 PLA2G2A CILP2
6.7818036,5.9481792,Cluster 0,CRANIOFACIAL REGION,FGD1 PITX3 SUPT3H VSX1 CLPTM1 SHOX2 PITX2 HMX1 BARX1 TNIP1 LDB2
7.457041,6.1151686,Cluster 0,EMBRYONIC STEM CELL,RPS12 EPHX3 POLE2 PSMG4 MORF4L1 COL2A1 PSMB5 APOM RAB28 KNOP1 ATG5 FXYD6-FXYD2 INSYN1 VPS72 PUDP ZNF266 KHDC3L ITSN1 RPL30 ZNF462 CAPN15 NANOG ABCF1 LIF ABHD17C RFC3 DENND2A
6.403627,6.593298,Cluster 0,MELANOCYTE,SNAI2 ALG8 CGGBP1 RAB30 PTK2 FCRLA PTK6 GPR143 SLC7A8 RAB31 DDR1 CITED1 NCAPG GLRX3 RAB27A ABCB5 IGF1R APEX1 RAB27B MTIF3
5.9808326,6.955771,Cluster 0,MACROPHAGE,M1AP TYROBP IL1B HBEGF CHIT1 CCL22 EMILIN2 MAP4K3 MMP12 ABCA7 CTSS SIGLEC5 TMEM176B CES2 JOSD2 SOAT1 ABCA6 NDUFA2 ABCA9 PPARG SLAMF7 VMO1 ABCA10 CLEC4D OSCAR MAP4K4 CASP1 SLC66A1 CCRL2 SUV39H1 FCAR GPD1 TM4SF19 CMPK1 B2M CCR5 FUOM CES1 TLR5
7.216609,5.208862,Cluster 0,LYMPHOBLASTOMA CELL,EIF3A EXOSC9 IFNAR2 BTG1 MAZ
6.590748,5.402778,Cluster 0,NATURAL KILLER CELL,KIR2DL3 CD226 MTREX CD244 KIR3DL1 KIR3DL2 RCC2 RNF19B NCR2 CLEC2D CCL3 CCL4 IL23R KIR2DS2 ZNF395
6.647053,5.8691983,Cluster 0,GERM LAYER,SOX11 KCNMB3 ABCB6 PDLIM7 PRPF3 SLC4A7 TADA1 PPP4R1 PRPF38B CNKSR1 CGN
5.789666,6.402268,Cluster 0,NEUTROPHIL,STX4 PEAK3 MMP9 CDC42 CXCR4 SNAP23 VNN2 PRTN3 RAC2 HCAR3 TREM1 PLBD1 SLC7A8 ARHGDIA ELANE TAPBP LCN2 SIRPB1 BLTP1 MMP8 SELPLG CXCL8 S100A12 TNFSF13B CTSG GCA AZU1 S100A8 SMAP2 CD164 TNFRSF1A
6.8586216,6.5793037,Cluster 0,RETINOBLASTOMA CELL,APH1A SCG3 PIGBOS1 CCNDBP1 CDHR1 CDKN3 RELT GEMIN7 TBC1D24 AACS AIPL1 CCDC28B EPB41L5 CEP83 UNC119 CAMSAP3 SETX PCLAF METTL2B CARD9 KIF4A DDX1 TFPT PTPRF ZNF124 GOLGB1 GPBP1 DCD PRDM2 CWF19L1 SLC4A11 ATP5F1A TRAF4 PHLPP1 AHCTF1 UBR7 NRL RTBDN TMEM145 ANO2 DCLRE1B CTPS2 PPP1R3B PIGQ PROM1 DXO HM13 DNAJB11 LAPTM4B CCDC25 PACC1 NR2E3 NT5DC2 ANGPTL7 RBP3 PTBP2 ZNF195 CUEDC2 YY1AP1 ZNF74 ALPK3 TRIM24 MMD2 CDK5RAP1 VCPKMT XPO5 CEP85 KHSRP SPC24 TYW5 EGLN3 ZCCHC17 TEDC2 PRPF31 PHAX CHD6 TPD52L2 FABP12 CAMKV GALNT14 ABCC6 AFG1L RAX POC1A PXMP2 STRBP GSG1 CELF3 UBE2Z MOAP1
