x,y,cluster,term,genes
2.1916494,0.012758235,Cluster 0,MAGEA10,NCOA2 POU2F1 CRTC3 MAGEA9 ERI1 NRIP1 FAM216A FOXJ2 PHF8 MAGEA4 
2.0330746,-0.1966486,Cluster 0,GID8,MKLN1 GID4 RMND5A ARMC8 MAEA YPEL5 RANBP10 
1.2286472,-0.3170847,Cluster 0,PSMB2,PSMB8 PSMB3 PSME4 PSME2 FBXO7 PSMG2 PSMB9 PSMB10 
1.7064214,-0.5283976,Cluster 0,VPS35,SNX2 TBC1D5 SNX1 VPS26B VPS29 
1.7630239,0.52955335,Cluster 0,GFOD1,CARD10 GFOD2 RALGAPA1 RALGAPA2 FBXO9 
1.5803273,-0.52741134,Cluster 0,ARPC5L,ARPC1A ACTR2 ARPC3 ARPC2 ARPC1B 
1.0878426,0.74217635,Cluster 0,FASTKD2,TRUB2 MRPL4 WBSCR16 PTCD1 MTERF3 
2.355013,-0.63872075,Cluster 0,GRAP2,USP8 GAREM1 GAB2 GAB1 PTPN23 AKAP10 
1.7571337,-0.36337954,Cluster 0,STX7,BET1 STX16 STXBP5 VTI1B STX6 PTTG1IP STX10 NAPG VAMP4 
1.6944805,0.6238118,Cluster 0,KAT2A,ZZZ3 TADA2A KAT2B TADA3 YEATS2 SGF29 CSRP2BP MBIP 
1.9311574,-0.80864894,Cluster 0,VPS28,TSG101 UBAP1 MVB12A VPS37B VPS37C VPS37A 
2.3058863,0.8926454,Cluster 0,FAM60A,BRMS1 SIN3A BRMS1L SUDS3 ARID4A ING1 SAP30 
2.42384,-0.028870374,Cluster 0,RMND5A,MKLN1 ZCCHC14 ZMYND19 PAPD7 ARMC8 HBP1 MAEA YPEL5 WARS2 ZCCHC2 RANBP10 
1.2698178,0.500269,Cluster 0,COG2,COG8 COG7 COG6 COG4 COG3 COG1 
1.1594768,0.55788296,Cluster 0,ZSCAN30,ZNF397 ZBED9 ZNF174 ZSCAN32 SCAND1 
1.2260771,0.86398315,Cluster 0,ZRSR2,PDCD7 ZMAT5 CCDC97 RNPC3 SNRNP48 SNRNP35 
1.7272794,0.2646417,Cluster 0,SNAP29,SKA1 STXBP5 NAPA STX7 TRPM7 
1.7403203,0.7574042,Cluster 0,ZKSCAN3,ZSCAN30 ZBED9 ZNF174 ZSCAN32 SCAND1 ZNF24 PGBD1 
1.3817302,0.8578,Cluster 0,CSNK2A2,CSNK2B GPATCH2 FBRSL1 GPATCH2L VSX1 NKAP 
1.3178878,1.2956614,Cluster 0,BBOX1,RTFDC1 TBK1 CASP2 TANK AZI2 
2.2971933,-0.8512667,Cluster 0,PIK3R2,PIK3CB PIK3R1 PIK3CA WDR6 PIK3R3 
1.665934,0.098604344,Cluster 0,VAMP8,STX8 STX7 VTI1B STX6 VTI1A SNAP29 
2.3182502,0.88009256,Cluster 0,ARID4A,SAP130 SIN3A BRMS1L SUDS3 ARID4B SAP30 
1.3723109,0.44928792,Cluster 0,PPP1R7,PPP1CC PPP1R2 PPP1R11 PPP1CA PPP1CB 
1.8830234,0.13223112,Cluster 0,PPP1CA,CSRNP1 CSRNP2 PPP1R37 C2ORF74 PPP1R11 C20ORF27 YLPM1 PPP1CB PPP1CC TANC2 ZFYVE16 PPP1R3D KIF1BP PHACTR4 
