x,y,cluster,term,genes,cluster_label
3.3465757,10.034488,Cluster 0,EEF1D,BATF3 CARS RNGTT XRCC6BP1 AHCYL2 VARS ANGEL2 KTN1 RRBP1 MLLT6 EEF1A2 EEF1B2 EEF1A1 TUBB8 ABTB1 C18ORF25 KIAA0564 TUBB3 C1QBP GSG2 EEF1G MAP1B PRAME ,Unresolved
3.2434099,9.7095375,Cluster 0,C19orf45,CADPS2 HSPA8 ANKFY1 KLHL23 UBR3 BRCA2 TARBP1 WDR47 HAPLN3 FAM83H PTPRD PPP2R2D FGFR1 LONP1 ,Unresolved
4.0742936,9.286525,Cluster 0,IER2,KDM5C CDCA2 HSPA8 PPP2R1A PPP2R2A RGPD8 ZBTB40 TP73 GLE1 NSMCE4A SGOL2 MCM3AP PPP2R2D PPP2R1B ZC3H11A KPNA3 KPNA4 PITX2 ,Unresolved
4.56406,10.3035345,Cluster 0,CDX1,UPF1 ZNF121 PTCD1 RBM19 STRBP ASH1L HIST2H3PS2 GNL2 SRRM1 GTPBP4 ANKHD1 TUBA8 CLK2 KBTBD6 MRPS9 KBTBD7 ZNF724P CDK12 SRSF5 BUD13 SREK1 RBM23 RPL26L1 CABIN1 ZNF431 DHX8 ZCCHC6 STAU2 YTHDC1 SRSF1 CASC3 ZCCHC17 ELAVL2 SDAD1 HIRA DHX30 FAM120A RPL36AL RBBP6 UBN2 MTERFD1 C10ORF2 ZNF107 PARP2 ZFR UTP3 DDX10 PUM2 MYBBP1A DHX29 ZCCHC3 GLYR1 TRUB2 ANKRD17 TRIM71 LARP1B NGRN BMS1 RSBN1L ,Unresolved
3.3172,9.493477,Cluster 0,FAM19A3,JMJD4 CBX5 DHPS TARBP1 PASK LRP1B THNSL1 MAPK14 TFCP2 ZC3HC1 CAMK1 NHLRC2 NDUFS1 LRP11 C5ORF51 AHCYL1 AHCYL2 KDM1B LRP2 CEP164 IDE C17ORF70 CSDE1 FBLN1 HSD17B8 DPYSL2 PPP3CC PPP4R2 KIF1A DPYSL5 DPP9 SNX27 PBK PDDC1 MICA LDLR PRMT7 PRMT6 INSR TRAPPC1 MANBA GGPS1 TRAPPC9 TRAF2 PPP2R3B MPP6 SORL1 PPP2CA CTU2 PPP2R2D CRYZL1 COL6A2 BIRC2 FBN2 GRN ISCA1 SMEK2 SMEK1 UBP1 PPP2R2A JPH1 FAM115C MAPK9 C10ORF125 PPP1R13L PPP2R1B NUDCD1 MRC2 VHL MCMBP FLAD1 ANKRD52 PPP1R10 RIOK2 ,Unresolved
3.5968862,9.979413,Cluster 0,L3MBTL2,CIZ1 RING1 PCGF6 MGA MBD3 GATAD2B RYBP TFDP1 TFDP2 KBTBD7 PSMC3 UBE2O PSME3 ASB6 CDH19 RNF2 ZNF296 HDAC1 HDAC2 WDR5 ITPR2 ITPR3 SSFA2 MTA1 MTA2 MIER2 SERPINF1 YAF2 E2F6 LIN54 ,Unresolved
1.7048026,9.201718,Cluster 0,CSN1S1,FAM120A PDE10A KLHL15 HSPA5 TIMP3 EMILIN3 ERF ETV3 B4GALNT4 BCOR LTBP1 CDKN2AIP ,Unresolved
4.7779098,9.849632,Cluster 0,CLEC3A,INSR TOR1A JUN PHF10 WDR54 YY1AP1 RNASEH1 PRRC2A ZFP91 CLPX RCAN1 ZZEF1 KBTBD6 KBTBD7 ZNF638 CHCHD2P9 ZNF579 ATF6 RNF220 LSM14B C19ORF29 RBM23 GTF3C2 ZNF430 RBM26 RBM27 ZNF593 FAF1 RRP1 C11ORF73 CLN5 RPL36AL ZMYM4 HECTD3 DHX57 BAG1 C1QBP LBR RNMTL1 CTNNBL1 EIF2B1 RSPRY1 ,Unresolved
3.0953517,10.331966,Cluster 0,RYBP,ATF7IP MORC4 KDM2B USP7 CSNK2A2 PCGF5 CSNK2A1 AUTS2 RING1 PCGF6 PCGF3 MGA TFDP1 TFDP2 CSNK2B BCOR BCORL1 L3MBTL2 RNF2 HDAC1 WDR5 MLLT1 BMI1 DCAF7 PCGF1 PCGF2 FBRSL1 YAF2 FBRS E2F6 ,Unresolved
2.41054,9.484682,Cluster 0,CLEC11A,IKBIP ZYG11B LOC100507290 POLRMT PRRC2B GALC KIAA0564 XIAP TRAF7 QTRT1 CEP85 PKP4 MAD1L1 BIRC2 SUGP2 LRRC15 ZFP106 RNF13 USP54 FBXO28 AMD1 FAF2 MYCBP2 LAMC1 ZNF518A FBXO45 SAV1 FAM83B PATZ1 ,Unresolved
