x,y,cluster,term,genes,cluster_label
2.4948485,9.85957,Cluster 0,C2orf29,CNOT6L NANOS2 MMP7 FBXW11 GADD45B IZUMO1 CNOT10 CNOT6 CNOT7 CNOT8 C10ORF137 CNOT1 CNOT2 CAPZA2 CNOT3 RQCD1 TEX13A GGNBP2 BTG3 FHL2 TOB1 RAVER1 CXORF48 GPBP1L1 RIBC1 TBC1D10A MAP4K4 TNKS1BP1 ,Unresolved
4.854103,9.657286,Cluster 0,MACROD1,SUPT16H PARP2 HBE1 CETN2 H2AFX PARP1 SSRP1 HIST2H3PS2 RPA1 XPC LIG3 HBA2 EXOC3 ,Unresolved
4.250945,10.426705,Cluster 0,CLK2,APOBEC3D CDX1 NCOA5 PRPF4B PPHLN1 C17ORF85 SRRM1 WDR33 CLK3 C1ORF63 CLK1 THRAP3 ZNF638 RNPS1 ACIN1 CLASRP C11ORF57 SRSF8 LUC7L2 ZCCHC8 YTHDC1 SRRT U2AF2 CASC3 RBMXL1 ELAVL2 GSPT2 PNN GPATCH8 REPIN1 MDK KIAA1704 BCLAF1 JPH4 TRA2A RBBP6 EPB41L2 SNRNP70 ZC3H18 SNIP1 LUC7L RSBN1L ZC3H14 SRSF10 SETD2 NKTR SRSF12 ,Unresolved
2.3943791,9.623734,Cluster 0,PPP6R2,ANKRD28 PLK1 MUL1 MYO5A AP1B1 MYO5B POLRMT TMEM43 ASPM SLC25A16 SCCPDH MYO1D MYO5C GORASP1 ANKRD44 CAMK4 SLC26A6 DCLRE1C ZNF574 SLC27A2 USP10 AURKA PRKDC AP2A1 TRMT2A PPP6C AP1G1 EXTL3 RPS6KA3 AP1S2 ANKRD52 ACAD11 ZNF785 AP2M1 ,Unresolved
1.8088299,9.321367,Cluster 0,ZNF764,TRIM41 NEBL CBX5 PPP2CA MYO1E CYP24A1 SNX18 TRAF7 ERBB2IP ZNF316 TRIM39 OBSL1 GNE MDM2 GTF3C2 GTF3C3 USP34 SH3KBP1 VWCE GTF3C1 LASP1 SH3PXD2B SH3PXD2A SUFU SMARCAD1 TRIM27 TRIM28 RPS27A TRIM24 ,Unresolved
3.8350189,9.391412,Cluster 0,KIAA1467,PTPN1 SPAG5 LEMD3 CKAP5 PEX16 FRMD3 FRMD5 DHRS7 TMX4 TMEM214 HIP1R DEPDC1 TNFSF9 C9ORF5 SEC22B B4GALT5 TRIM13 SLC47A1 B4GALT1 NRSN2 ABCD4 ADPGK PEX11B RRP1 HBB UBE3C PDS5B STX12 TBRG4 HERC5 XKRX ORC5 CCNB2 LAPTM4A SCGB1D1 ARV1 MCART1 CCDC99 TNPO2 ,Unresolved
4.9811354,9.684401,Cluster 0,EIF3E,EIF3A EIF4A1 PSMD12 PRRC2B EIF3L EIF3M RSPH9 EIF3K EIF3H EIF3I EIF3F EIF3CL GPBP1L1 EIF3G EIF3D EIF3B EIF3C ,Unresolved
2.136381,9.880223,Cluster 0,RP2,COG8 GLMN STAT3 USP24 PRAF2 TXNRD1 CSNK1E TSC2 DAK MTOR CTU1 DMXL2 KIAA0368 TRIP12 SLC44A2 PDS5A CSNK1D XPO4 XPO7 QSOX1 SYMPK OSTF1 TNPO2 MOSC2 TNPO3 ,Unresolved
4.4276805,8.966025,Cluster 0,ZNF703,TIGD5 HSPA8 TCEAL1 NR1D2 FAM136A HSPBP1 SUPV3L1 DCAF7 C6ORF141 SLC5A8 GANAB BAG4 CD209 ESRP1 TEKT3 C8ORF84 HAO2 SLC25A11 CLASRP HOXA1 MSX2 VSX2 LPPR2 ,Unresolved
2.4691534,9.602766,Cluster 0,FGL2,CYLD GNPDA1 FUT8 ZNF282 SPATA2 CDK5RAP2 MTFR1 ITPR3 KIF7 PCNT SSFA2 ,Unresolved
3.6526237,10.192933,Cluster 0,PSME3,RASL10B PCGF6 MGA CBX2 GATAD2A GTF2F1 DIEXF PSMB9 GATAD2B CLK3 PML ZBTB9 ELF2 TADA2A TRMT6 YEATS2 FLYWCH2 L3MBTL2 CCDC69 CHD8 HUS1B RTEL1 COIL SNAPC3 SNAPC4 RPL15 LUC7L FAM192A SNAPC1 RALY CSRP2BP MBIP TSPYL1 FBXL19 SSH3 THAP11 ZZZ3 KLHDC8A RAD18 RAB40AL TSPYL6 BAP1 ZNF891 MRPS34 TSHZ3 PPM1E SALL2 PSMB3 TP53TG5 ZMAT5 MBTD1 CAMTA2 ZNF324 ZKSCAN1 ,Unresolved
2.930441,10.216801,Cluster 0,RFPL4B,JMJD4 MGA ZBTB10 TRMT1 C1ORF103 FAM90A1 ZZZ3 YEATS2 TAB2 POLR3K TAB1 C5ORF25 KDM3B HDAC3 SATB2 ZNF195 CHD8 AMBRA1 KRBA1 LIMD1 DDA1 C15ORF39 RFPL4A SALL2 ZMYM6 MIOS ZNF446 CSRP2BP LONRF3 ZNF302 ZNF324 ZKSCAN1 TRIM24 ZNF784 ,Unresolved
4.7825646,9.32398,Cluster 0,MED21,MED1 CDK19 MED4 STX8 MED9 PTPN11 HPCAL1 MED13L RNF40 MED6 MED7 MED8 CDK8 ULBP2 CNTN1 C8ORF47 CCNC RPAP2 MED17 MED16 EFNA5 MED19 ZMPSTE24 PTPRG MED18 MED13 MED12 ABLIM1 MED15 MED14 SGPL1 MED11 MED10 VTI1B MPZL1 GRINL1A PAG1 YES1 SPAG5 FBXL19 MED28 MED27 DHRS3 RNF20 MED29 CKAP4 EEPD1 MED24 MED23 SCCPDH MED26 VAMP8 MED25 GAP43 MED20 MED22 GNAQ BIRC5 PTRH2 KIF2C SMPDL3B VAMP3 GNAZ CSNK1G3 SRC MED12L INPP5A POLR2A PALM MED31 MED30 POLR2D HRAS POLR2I FYN POLR2J ,Unresolved
4.51297,10.352968,Cluster 0,NKAP,USP7 CSNK2A2 CSNK2A1 ARMC8 SREK1IP1 PRPF40A JMJD6 TOPORS SRRM2 ZZEF1 NKAPL NOS1AP CSNK2B RNPS1 FTL C11ORF57 RBM25 LLGL2 CHD9 AKAP17A DDX41 ZCCHC17 PNN HIST1H1T MDK SYNCRIP C1ORF226 HECTD3 EPB41L2 ZC3H18 PIP4K2A RSBN1L NINL ,Unresolved
4.453423,8.900111,Cluster 0,LPPR2,YTHDF1 ARF5 ISCA1 SAR1B DSCC1 TP53RK DNAJC12 EPN1 C9ORF40 RNF214 NME7 DPP9 TTC5 ZNF703 METAP1 SEC24D METAP2 ,Unresolved
3.4940898,9.734252,Cluster 0,LARP1B,APOBEC3D H2AFX CDX1 ZC3H3 MKI67IP WDR46 ELAVL2 GSPT2 LARP1 TRA2A SNRNP70 HIST1H1E CCNI2 DGCR8 HNRNPA1 ,Unresolved
3.109222,9.737108,Cluster 0,SSSCA1,ENDOG KLHL26 SPATS2 RPL23 WDR76 PLEKHA5 GTF2F1 EML3 CDC20 SUPT3H TNIP2 RPUSD3 RPUSD4 SLTM SMCR8 RAPGEF6 PI4K2B FLII TNKS PIF1 ZC3H3 SNX33 RTEL1 LSM11 FAM120A HERC2 DPH1 CCDC85C CCDC85B NPHP4 MAP7 NARG2 DNAH14 TBCCD1 TIGD5 C3ORF63 CABLES2 ELP3 BBS10 DDB2 ATAT1 NEDD1 NIT1 MYO1D PER1 GEMIN5 MAP7D1 PKN3 DTL FYTTD1 PPP1R13B DDX28 ZNF295 C9ORF100 TNKS2 C15ORF23 KRBA1 C17ORF53 RPS4X SENP5 MTG1 KIAA1543 KIAA1468 DIP2A PUSL1 EIF2A SBF1 POC1A ,Unresolved
3.3052428,10.507526,Cluster 0,SMARCA2,SMARCD1 SS18 SMARCC2 BCL7A BCL7C SMARCE1 ACTBL2 DPF2 DPF3 RELB ,Unresolved
2.3365152,10.352676,Cluster 0,P4HA3,HSPA5 ACTR6 YLPM1 TSC2 SCRIB PEX14 SRRM1 WDR33 KIAA0802 YEATS4 ZNF318 NF1 SLBP ZNF592 SATB1 SRCAP UBR5 TRPS1 AGAP1 FXR2 FAM171A2 BCL2L11 RBM15B FAM120C CASKIN2 DMAP1 DISC1 FBRS ZNF787 MLL4 TIGD5 PPHLN1 P4HB ZNF579 SF1 ZMYND8 SIX1 SESTD1 ZNHIT1 PDF CHAF1A VPS72 RSRC2 GSG2 PWWP2A NFATC2IP PWWP2B KIF21A TP53BP2 ZBTB7B ZNF687 ZNF444 PATZ1 ,Unresolved
2.0711322,9.68906,Cluster 0,CCDC101,FAM48A CHGA WDR37 VBP1 TPM3 TCF12 C1ORF122 CARD8 SUPT7L SUPT3H TAF6L TADA2A KAT2B TADA2B KAT2A YEATS2 CATSPER4 C17ORF70 SSFA2 TAF5L TFPT FYCO1 C1ORF106 FAM196A KIF5B CEP250 ATXN7L3 SNAP29 CSRP2BP RAB11FIP5 REPS1 TAF9B MBIP RABGAP1L DTNA DTNB TAF12 SPC24 ZZZ3 C6ORF118 TADA3 TADA1 KIF2C TCF4 C16ORF45 WDR5 C15ORF23 IKZF5 EDC4 MPRIP TP53BP2 SH3GL1 IFT57 BANP ,Unresolved
1.9915189,8.903171,Cluster 0,SDC2,NBEAL1 AMPD2 GPR50 KLHL7 PI4KA EXOC3 GTF3C2 GTF3C3 GMEB1 GMEB2 SNX33 PRDM10 SLC7A3 GTF3C1 EFNB2 CAMKV S100A13 HIST1H2AG OSBPL8 PARP2 ZNF460 NCAPH2 PDPK1 TMEM192 SULF2 DHRS2 SULF1 C17ORF42 CKAP5 FARP1 VANGL2 DOPEY2 VANGL1 HADHB ZNF92 TMEM11 SNX18 HADHA GPR183 FGFR3 FGFR2 SEMA3C XPC FGF1 FGF2 TMEM186 FGFRL1 SMC2 LIPG RNF213 CAND2 METTL8 HEATR6 ,Unresolved
4.3845406,9.469823,Cluster 0,FBXW8,CCT3 ZNF263 CETN1 ZNF408 KLHL2 ZFC3H1 ZNF669 CASQ2 CCT7 TTC29 MAPK14 ,Unresolved
2.3033528,9.196187,Cluster 0,AP1G2,ZYG11B SYNRG THBS2 IL27RA RBM14-RBM4 TMX3 AAGAB ATG2B ZNF318 AP1S2 C19ORF46 AP1M2 AP2M1 ,Unresolved
5.0878367,9.705362,Cluster 0,EIF3M,EIF3A EIF4A1 PSMD12 USP34 EIF3L EIF3K EIF3H EIF3I EIF3F EIF3CL GPBP1L1 EIF3G EIF3D EIF3E EIF3B EIF3C ,Unresolved
2.3462884,10.06061,Cluster 0,LGALS3BP,SPRYD3 TRAPPC10 FN1 DNAJC13 TRAPPC9 PPHLN1 PHKB C12ORF51 TYK2 KIF7 TUBG1 BCKDK MZT2B MZT2A NEURL4 TUBGCP6 TUBGCP4 TUBGCP5 GNE CUL7 TUBGCP2 USP54 TUBGCP3 FMR1 MYCBP2 N4BP2L2 LENG8 RGPD8 FBXO45 GPHN ACACA FXR2 FAM120A PRIC285 FXR1 FAM83H POLE HERC2 NKRF C10ORF2 TRIM27 MIOS RAE1 ,Unresolved
4.895734,9.5795765,Cluster 0,NOL10,CCT3 DDX47 NAT10 NGDN PPAN DGCR8 RPS2 WDR46 CCT7 FGF3 AATF ,Unresolved
5.048755,9.65817,Cluster 0,EIF3F,LRRC49 EIF3A JOSD1 PRRC2B EIF3L EIF3M C19ORF20 TUBB3 EIF3K C19ORF52 EIF3H EIF3I C11ORF49 EIF3CL EIF3G EIF3D EIF4E2 EIF3E EIF3B EIF3C ,Unresolved
3.9097905,9.895845,Cluster 0,CCDC97,ZRSR2 SF3B5 PAXIP1 SF3B3 SF3A2 CIZ1 SF3B4 JUN SF3A3 ATF1 TTC33 SF3B14 PIP5K1A SF3B1 SF3A1 SF3B2 ,Unresolved
3.3302584,10.527028,Cluster 0,DPF2,SMARCD1 SS18 SS18L1 SMARCC1 SMARCD2 SMARCD3 SMARCC2 SMARCB1 ACTL6A ACTL6B SMARCE1 ARID1A ARID1B SMARCA2 SMARCA4 BCL7B BCL7A BCL7C ,Unresolved
3.713856,10.151571,Cluster 0,ZSCAN5A,HDAC3 KDM1A CSNK2A2 CSNK2A1 IPO8 ZMYM2 NCOR1 NCOR2 ZMYM4 CSNK2B SCAND1 OBSL1 RCOR3 RCOR2 RCOR1 ,Unresolved
4.377059,9.348783,Cluster 0,DNAJC7,C5ORF34 CTC1 URGCP WDR19 GREB1 IFT140 MOCOS VPS13B LRWD1 FANCB VPS13C IFT122 VPS13A WDR35 BBS10 EML5 NEURL4 POLE2 ESPL1 DNA2 KIF20B IFT172 C17ORF71 WDR62 KIAA0100 WDR41 MTO1 PLD2 USP19 PWP2 MED16 POLE NPHP1 FUNDC2 NPHP4 LCMT2 ,Unresolved
2.1804402,9.37765,Cluster 0,MTUS2,EIF5B CAST ATP6V0C AP1B1 ATP11C C9ORF86 MTUS1 CD109 CCDC6 MYADM ULBP2 FRA10AC1 MACF1 TMEM63B DDX46 MLLT4 MTDH SCAF8 CP110 DCAF10 FYN PAK4 ATP6V0A1 PAG1 ATP6V0A2 ,Unresolved
3.4093113,9.593522,Cluster 0,NAP1L5,TSPYL4 SKA1 ABT1 ZNF295 CLPB NAP1L4 IQGAP1 NAP1L1 CCDC102A NOL6 PDCD2L RNF138 RRP7A NDEL1 RPS2 EVL MARK2 ,Unresolved
1.9547905,9.602472,Cluster 0,RAB6B,CCDC117 OCRL VASH1 TARBP1 RABGGTB TGFBR2 TPCN2 RNF20 HAX1 SCCPDH MAVS ACOX1 MTMR1 CUL9 NUFIP1 USP32 GDI2 GDI1 CHM RAB41 C14ORF104 RABGGTA LYPD1 CNGA3 CHML RAB6C SBF1 PCDHAC2 RAB6A ,Unresolved
3.7644935,9.303235,Cluster 0,RASSF8,PPP1R13B PRKCI ZBTB2 C17ORF70 PARD3 CORO1A PPP1CA PPP1CC KIAA1712 FRMD6 PCM1 GOLPH3 ZNF639 GOLGA2 TP53BP2 POC1A ,Unresolved
2.757786,9.924844,Cluster 0,SOST,GTF2I PRMT6 GLDC AHCYL2 LRP2 SRRT CSH2 LRP6 LRP5 LRP4 AP2A1 SORL1 SIRT1 DCAF5 KCTD10 IMPDH1 HERC2 HLA-DPB1 PMPCB PSMG2 PSMG3 SPOP KPNA4 ,Unresolved
4.445008,9.631468,Cluster 0,SSH3,JMJD4 KDM5C POLA2 HERC1 C7ORF55 YBEY HSPA8 ANGEL1 PSME3 KIAA0232 MKS1 ,Unresolved
3.6195934,9.859028,Cluster 0,TOB1,CNOT6L ATE1 FHL2 C2ORF29 CNOT10 CNOT6 CNOT7 CNOT8 CNOT1 RAVER1 CNOT2 CNOT3 RNF219 RQCD1 TNKS1BP1 ,Unresolved
4.160954,9.734381,Cluster 0,QKI,ATE1 VAC14 SYNCRIP RBFOX2 FBXW11 SLC39A12 RBM42 SNRNP27 RBMX TRIM11 HNRPLL ,Unresolved
4.946477,9.483067,Cluster 0,SUPV3L1,PNPT1 USP9X HNRPDL MRPS34 MRPS11 BHLHA15 ELAVL2 RBM3 ZMAT3 RBM42 ZNF703 HNRNPF WASF3 HNRNPA1 ,Unresolved
2.271184,10.316511,Cluster 0,EPB41L5,DENND2D BRD2 SETD1A EAF1 SSRP1 NAP1L1 AP3B1 TRPC4AP VANGL1 NAGK UBE2O NAF1 CASQ2 UHRF1BP1 HIST1H2BO CHD9 FHL2 PRICKLE3 CXXC1 ARRB2 MLLT3 CWC27 AFF4 DCAF5 DCAF8 RNF135 PLTP MDK HECTD1 GPBP1 ASH2L FNTA CWC22 CAMKV BOD1L PIP4K2A GPBP1L1 ,Unresolved
2.5676153,10.300103,Cluster 0,ZNF263,PPP1R12A USP9X FBXW8 SCRIB SIRT1 FBXO11 KIF7 THNSL1 MRPS5 KLHL21 ANKHD1 KIAA0889 KIAA0802 NFX1 ZSCAN20 AHCYL1 ZNF397 ZNF232 AHCYL2 MTMR4 VPRBP ZNF192 ZMYM2 ZMYM6 SCAND1 C10ORF2 VPS11 ASCC3 RPS27A NKTR TRIM41 MRPS24 MTHFR TOPORS RFWD2 PPP2R2D TRAF7 TRIM37 RAD18 FTL ANKRD17 CUL7 MRPS35 LENG8 LTBP4 ZNF24 CENPB PPM1G C18ORF25 ARIH1 ANKRD52 ZNF446 ZNF445 ZNF687 ZNF444 VPS39 ,Unresolved
2.709657,10.31618,Cluster 0,CELA1,CCT2 HDAC3 USP54 CEP164 TUBB1 HELZ PRRC2A KRBA1 GLI3 SIPA1L2 ZNF318 SMYD2 DISC1 BCOR EIF4E2 PRR14 ,Unresolved
4.524398,10.318913,Cluster 0,RNPS1,DENND2D WSB2 KLHL2 PRPF40A UPF3A SRPK1 CLK2 SARNP C11ORF57 LUC7L2 PTGER3 U2AF2 DDX41 ZCCHC17 ELAVL2 PNN NKAP EPB41L2 SNRNP70 CAMKV PES1 PIP4K2A SNIP1 LUC7L RSBN1L ,Unresolved
4.009857,9.975365,Cluster 0,NEUROG3,ZNF100 TEX10 PHF10 DDX56 TCF12 ARID3B YY1AP1 DDX51 MYO9B ASPM SETX TEP1 ZNF638 ID4 CHCHD2P9 TCF4 ZNF579 TCF3 NOP56 GTF3C2 ZNF496 ZNF430 ZNF593 RRP1 GXYLT2 TMTC4 FAM82A2 NTN1 RTEL1 FAM82A1 FBL ADCY6 RECQL4 DCAF4 EME1 DHX35 HERC1 DHX57 C1QBP C21ORF70 FLJ36031 HES6 ,Unresolved
2.5326371,10.184462,Cluster 0,GATAD2B,TCF19 NCAPH2 MBD2 MAGEE1 MBD3 C9ORF25 PHF20L1 CDC16 TXNIP ZNF219 PSME3 CDK2AP1 L3MBTL2 HDAC1 CPNE5 HDAC2 QPRT ZBTB46 CHD5 IKZF1 CHD4 CROT CHD3 IKZF3 MBD3L1 MTA1 MTA2 RBBP4 RBBP7 ZBED1 MTA3 ,Unresolved
3.7110114,8.856717,Cluster 0,ARIH1,KLHDC3 JUN MAGEE2 FBXW11 KLHDC2 CRAMP1L ZNF35 ISL1 ISL2 PUS7L FBXW2 EPN3 KBTBD6 KBTBD7 KLHL7 IRF9 PLCD3 ATF2 C11ORF31 ATF1 DDX47 THYN1 TNFAIP3 TNFAIP1 UBE2L3 CTGF HOXA10 BBX CAMKV SRBD1 ECT2 SPOP ZNF501 BTRC BATF3 JUND ZNF263 KATNA1 KCTD3 HAUS7 FBXL15 C17ORF42 KCTD9 CREB1 KCTD10 ZFP41 TGIF2LY SHKBP1 RBM42 PRPF31 TCEANC2 KCTD13 HOXB9 FBXL5 ATF7 ZNF852 CREB5 SETD7 UHRF1 CUL1 TULP3 RHOBTB2 PDCD2L RNF138 SPANXN3 PIP5K1A JUNB HOXC9 ZNF687 ,Unresolved
3.6601527,9.336829,Cluster 0,PRCC,TKTL2 HSPA9 WRAP73 BCAM F11 FAF1 FKBP9 CARM1 C19ORF57 CRNKL1 BCAS2 ,Unresolved
2.8877473,10.158772,Cluster 0,A1BG,UBXN1 PSME4 GDPD1 FDXR UBR4 WDR62 ZBTB40 UBAC1 RNF123 KCMF1 ,Unresolved
2.2564433,10.390596,Cluster 0,SRSF12,U2AF2 RPL7 GSPT2 CLK3 HIST1H1T CLK2 TRA2A SNRNP70 ZC3H18 SNIP1 NOL12 LUC7L2 C16ORF88 ,Unresolved
4.319698,8.983356,Cluster 0,TMEM70,MIPEP RTN1 ZMYND19 MCCC1 TOP3A MTIF2 HSPD1 MAEA ACSF3 DHRS4 COQ6 NARS2 CPS1 CPT2 FDXR ACTBL2 CHDH IARS2 ACSS1 ,Unresolved
3.3305256,10.4929085,Cluster 0,CETN1,DNAH14 SPRYD3 DYX1C1 SUPT16H PARP2 FBXW8 PCID2 H2AFX FBXO16 SGSM2 SGSM1 BCKDK CTU1 MCM3AP LHX4 POC5 TDP1 PKN2 SFI1 CUL7 ZFAND5 ZNF295 CETN2 LDB1 CRABP1 CETN3 MYCBP2 TWIST1 XPC TTF2 EFCAB11 PDF KIAA1407 PPIP5K2 KIF1A SH3BP4 KIF1B CCHCR1 ,Unresolved
2.0948575,10.33879,Cluster 0,CCND3,CREBBP CDKN2C CDKN1B CDKN1C CDKN1A KLK5 RBL2 CDK6 CDK5 CDK4 STAP1 CDK2 CDK1 ,Unresolved
3.8756824,10.019593,Cluster 0,SRPK1,ZRSR2 DHX8 RBM27 U2AF2 U2AF1 PNN FGF8 LUC7L DROSHA RNPS1 ARL6IP4 ACIN1 DGCR8 RPS14 LUC7L2 ,Unresolved
2.8139243,10.191104,Cluster 0,CAMKV,AP3B1 TGFBR3 SRRM2 HAX1 THRAP3 NAF1 AGRN AHCYL1 NUFIP1 AHCYL2 ELL CHD9 NOLC1 NRXN3 MLLT1 MLLT3 AFF4 PNN C14ORF104 GPATCH8 AFF1 AP3M2 TCOF1 CWC22 GPC1 GPC4 SFRS18 GPC3 PIP4K2C GPC6 AP3M1 BRD4 BRD3 BRD2 SPEN EAF1 TTC7A NOS1AP RIT1 SDC2 RNPS1 ACIN1 PKN2 CD44 PRICKLE3 JPH1 EPB41L5 DGUOK ZC3H18 TNRC18 UBTF ARIH1 ZC3H14 ,Unresolved
2.4904947,9.515498,Cluster 0,CAPN6,LRFN4 CHRAC1 KIAA1009 FAM101B HECTD1 GLDC SUN1 UBA6 FLNA BAZ1A BICD2 SYNE2 ,Unresolved
3.5719695,10.074334,Cluster 0,DENND2D,HSPA9 BRD2 ELL HSPA8 NOLC1 FBXL19 MLLT1 RTF1 MLLT3 AFF4 PNN SRRM2 C1ORF52 EPB41L5 GRPEL1 TCOF1 CWC22 RNPS1 TPP2 ACIN1 ,Unresolved
3.165479,9.174386,Cluster 0,ARNT,FOXR2 C1QTNF2 HSPA8 SHMT1 AHR SLX1A NPAS1 HIF1A BCAT1 NARFL DCAF15 ,Unresolved
3.175249,9.624706,Cluster 0,GTF3C3,GTF3C2 GTF3C5 FBL GTF3C1 BIN3 POLR3D ZNF629 POLR3E STX6 SDC2 CASQ2 ZNF764 ZNF785 CD44 ,Unresolved
4.2404428,8.84494,Cluster 0,AURKC,HSP90AA1 HSP90AB3P HSP90AB1 C12ORF43 HSP90AA5P USP19 HSP90AA4P MYH1 MYH4 INCENP CDK5 DHX38 FKBP5 MYH8 ,Unresolved
2.9686599,10.206508,Cluster 0,IKZF1,KLHDC3 ANKRD27 WTAP MCRS1 GATAD2A WDR76 ARMC8 GATAD2B MIB2 MKLN1 GALC APPBP2 RANBP10 WDR26 ZMYND19 CTBP2 HSD17B4 CUL2 FOXK2 IKZF2 FOXK1 CHD4 CHD3 IKZF3 IKZF4 IKZF5 NFS1 RMND5A MTA1 MTA2 POTEI BTBD1 MTA3 KLHDC10 POC1A ,Unresolved
4.4858913,10.225085,Cluster 0,RBMXL1,CLK2 APOBEC3D SYNCRIP FBXW11 SFPQ SNRNP70 ZC3H18 ILF2 ELAVL2 FDXACB1 ,Unresolved
2.0858836,10.483617,Cluster 0,ATXN7L3,FAM48A ENY2 CCDC101 USP27X TRRAP USP22 TAF12 TAF10 SUPT7L SUPT3H TAF5L KAT2B TADA2B KAT2A TADA3 ATXN7 TADA1 TAF9 ATXN7L1 ATXN7L2 TAF9B ,Unresolved
4.5488667,9.614065,Cluster 0,MCM10,APP TPH1 TEX264 CAV3 TMEM171 IKZF5 KBTBD5 MCM4 MCMBP MCM6 RELL2 MCM7 CACNG5 ,Unresolved
1.9255652,10.426116,Cluster 0,ARRB1,BRPF1 DOCK4 NOLC1 RTF1 ARRB2 HDGFRP2 DCAF5 ALDH4A1 TCOF1 LYRM7 ELMO2 SAG ACIN1 ,Unresolved
