x,y,Name,Genes
11.537232,11.873725,NOL12,NOP16 IMP3 SURF6 DDX56 CCDC137 PAPD5 NOC3L DDX31 FTSJ3 GNL3 REXO4 LARP7 GLTSCR2 GTPBP4 NSA2 EBNA1BP2 LIN28B MYBBP1A DKC1 RPL7L1 RPL26 GZF1 RPS24 FYTTD1 RPL26L1 RBM28 RRP8 ZNF771 DDX27 WHSC1 NIP7 MPHOSPH10 DDX24 ZC3HAV1 DDX21 RPF2 DHX30 LLPH DHX57 PURA PES1 RPS5 BRIX1 RPL17 RRS1 LYAR RPS13
5.4153233,12.508189,SND1,ATP6V1D RPL3 RPL30 RPL11 DDX47 RPL21 RPS9 RPL27A RPS5 RPS3 RPS15A
9.449122,15.462393,RPL8,SSB TUFM RPS8 RPL22 RPL21 RPS9 RPL24 RPL23 RPS7 RPSA MTHFD1 RPL26 FAU RPL22L1 RPL27 RPL26L1 RPL11 RPL10 RPL13 RPL12 HNRNPU ATP5A1 NOLC1 RRBP1 NOL6 FBL RPL36AL PES1 RPL15 RPS5 RPL14 RPS3 RPL18 MINA SRPK1 RPL3L RPS27 RPS29 RPL27A RPS20 RPS23 RPS25 RPL6 RPL31 RPL3 RPL4 RPL30 RPL35 RPL34 ATP5C1 RPL9 RPL7 RPS15 RPS19 G3BP1 RPL37 RPL36 RPL39 RPS12 RPS11 RPS14 RPS13 NSUN2 NAP1L1 RPS3A RPL37A NAT10 EEF1G CALR SLC25A4 SLC25A3 ATP5O RPF2 RPS15A ZNF622 RPS27A HIST1H1B HIST1H1C NPM1 RPL35A RPL23A EBNA1BP2 CANX TSR1 SLC25A6 SLC25A5 RPLP0 HSP90AB1 RPLP2 YBX1 RPL10A RPS4X RPL18A IGF2BP1 IGF2BP3 RACK1 RPL7A RBM34
11.797162,13.329628,COMMD1,COMMD9 COMMD10 FAM45A COMMD3 COMMD4 CCDC22 CCDC93 VPS29
7.8319545,14.103974,PDS5B,STAG1 RAD21 PRPF19 CDCA5 CDC5L EIF2S2 SMC1A WAPL SMC3
6.2913294,14.861077,TPR,RBM39 CPSF6 RANBP2 SF3A3 DDX17 THOC2 CDC5L PRPF40A EIF2S2 WBP11 SRRM2 U2SURP HNRNPM KPNB1 PRPF8 SNRNP40 PRPF19 PRPF31 CDK12 ACIN1 SRSF5 SRSF6 SRSF7 SNRNP200 SF3A1 RBM25 KHDRBS1 SF3B3 TCERG1 DDX5 DHX9 SRRT DDX23 DDX46 PSIP1 IPO7 CDC73 SNU13 EFTUD2 RUVBL1 SART1 SNRPD2 PUF60 SNRPD1 DHX15 SF3B1 SF3B2 SRSF11
7.9113646,14.967773,GNAI2,RIC8A GNG4 GNB1 GNB4 GNAI3
6.089767,14.906901,LMNB1,DHX9 SRRT SRSF1 U2AF2 PNN SRRM2 U2SURP RUVBL1 DHX15 TRA2B PPIG RNPS1 SRSF6 SRSF7
9.112862,15.757665,RPL5,SSB TUFM SND1 SUPT16H RPS8 RPL22 DIMT1 RPL21 RPS9 RPS6 RPL24 EIF1AX RPL23 RPS7 RPSA EEF1A1 SERBP1 MTHFD1 RPL26 FAU RPL28 HNRNPC RPL22L1 RPL27 RPL26L1 RPL11 RPL10 RPL13 RPL12 HNRNPU NOLC1 FBL RPL36AL PES1 RPL15 RPS5 RPL14 RPS2 RPS3 RPL19 RPL18 MYH7B MINA EEF2 EIF2S1 SRPK1 RPL3L PUM3 RPS27 RPS26 RPL27A NCL RPS21 RPS20 RPS23 RPS25 RPL6 RPL31 PWP1 RPL3 RPL4 RPL30 MEPCE RPL32 RPL35 RPL34 ATP5C1 SRP14 RPL9 RPL7 RPL8 RPS16 EEF1B2 RPS15 RPS18 RPS19 G3BP1 RPL37 RPL36 RPL39 RPS10 RPL38 RPS12 RPS11 RPS14 RPS13 EIF5B NSUN2 BTF3 HSP90AA1 RPL13A PA2G4 NAP1L1 RPS3A RPL37A NAT10 EEF1G PABPC1 CALR SLC25A3 DUSP18 RPF2 HIST1H1E RPS15A HIST1H1A ZNF622 RPS27A HIST1H1B HIST1H1C HIST1H1D NOP58 NPM1 NPM3 RPL35A RPL23A EBNA1BP2 HADHA CANX TSR1 UBA52 SLC25A6 SLC25A5 EIF3B RPLP0 RPLP2 RPL10L RPLP1 YBX1 RPL10A RPS4X RPL18A RRP15 IGF2BP1 IGF2BP3 RACK1 RPL7A RBM34
11.349234,13.712519,DSCR3,COMMD9 FAM45A COMMD3 COMMD4 CCDC22 COMMD2 CCDC93 COMMD7 COMMD8 VPS29
